"PK","SK","__typename","clientID","clientSecretHash","createdAt","email","GSI1SK","id","isEmailVerify","partyID","password_hash","passwordHash","roleID","roleType","stylizedUserID","Type","updatedAt","username"
"PARTY|P1","USER|ADMIN","User","","","","","","admin","","P1","","$2a$12$bHf9S9VAKPhGHinhCRuzD.ZEjbHwirhbS4SFPmx1cwtAnZSvQPsPe","R01","ADMIN","ADMIN","User","","admin"
"PARTY|P1","USER|knighth","USER","","","2022-02-10T19:53:01.993Z","thanapapapaa@gmail.com","PARTY|P1","U0123456","","","$2b$10$IR6VP3nRfjl0xfFODs8vMu5WPc5h0dN6/6wYvYMTWt3KyNz/5LT8G","","asdpok","ADMIN","","USER","2022-02-10T19:53:01.993Z","knighth"
"PARTY|LINKLOOK","CLIENT|LINKLOOK","Client","LINKLOOK","$2a$12$U0KZpeJGhjt0GhT2GZvr.ee9IofpVXLbjNz1eznX74VLBtgT6u3KG","","","","","","LINKLOOK","","","","","","Client","",""
"PARTY|LINKLOOK","USER|70007","USER","","","2022-07-11T10:47:58.854Z","70007@gmail.com","PARTY|LINKLOOK","70007","","LINKLOOK","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","70007","USER","2022-07-11T10:47:58.854Z","70007"
"PARTY|LINKLOOK","USER|ADMIN_LLH_KAT","USER","","","2022-07-11T10:47:58.854Z","admin_llh_kat_DATABILITY@live.com","PARTY|LINKLOOK","ADMIN_LLH_KAT","","LINKLOOK","","$2a$12$qU/Ob5Zf.DGQD4UkjCuGAuAxWqj9vMe8hGyf82O1ktoMC4GQDCmhK","asdpok","ADMIN","ADMIN","USER","2022-07-11T10:47:58.854Z","ADMIN_LLH_KAT"
"PARTY|LINKLOOK","USER|INNOTECH_ADMIN","USER","","","2022-07-11T10:47:58.854Z","innotech_admin@live.com","PARTY|LINKLOOK","innotech_admin","","LINKLOOK","","$2a$12$qU/Ob5Zf.DGQD4UkjCuGAuAxWqj9vMe8hGyf82O1ktoMC4GQDCmhK","asdpok","ADMIN","ADMIN","USER","2022-07-11T10:47:58.854Z","innotech_admin"
"PARTY|LINKLOOK","USER|KNIGHTH","USER","","","2022-07-06T07:05:37.385Z","thanapapapaa@gmail.com","PARTY|LINKLOOK","U0123456","","LINKLOOK","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","ADMIN","knighth","USER","2022-07-06T07:05:37.385Z","knighth"
"PARTY|LINKLOOK","USER|NATHAN_AKR","USER","","","2022-07-18T04:49:40.906Z","","PARTY|LINKLOOK","El5q9pdl7P3QK1","","","","$2b$10$ZfQcniq33bpe0dqDHy8vi.GYOI8omG3K8qvakv2C19TLnIOTxEHkm","asdpok","MEMBER","nathan_akr","USER","2022-07-18T04:49:40.906Z","nathan_akr"
"PARTY|LINKLOOK","USER|SOMCHAI","USER","","","2022-08-18T09:25:41.519Z","","PARTY|LINKLOOK","El6yu7rntTA_0d","","LINKLOOK","","$2b$10$2P.EWX/88jPt6XyLSSPq.euuYkr9YJkvPeKLcV09/ClqqWx4Mvl.y","asdpok","MEMBER","somchai","USER","2022-08-18T09:25:41.519Z","somchai"
"PARTY|LINKLOOK","USER|SOMCHAI123","USER","","","2022-08-18T09:31:19.074Z","","PARTY|LINKLOOK","El6yuf05rG9dNF","","LINKLOOK","","$2b$10$eDaXwVy3w.DBDJt7uchvf.uTKTg9hG37tWQxCGo6WyeGlfCdn71EC","asdpok","MEMBER","somchai123","USER","2022-08-18T09:31:19.074Z","somchai123"
