"PK","SK","address","benefitHospital","benefitProvince","benefitTypeFood","benefitTypeSnack","benefitTypeTotal","benefitTypeTravel","birthDate","createdAt","createdByEmployeeID","dayType","departmentDetail","departmentID","departmentName","email","emergencyContactList","employeeBankList","employeeExperienceList","employeeType","endedAt","fullName","GSI1SK","homeRegistrationImageList","id","isOther","isOtherQuantity","isOtherText","isStudying","isStudyingQuantity","isWorking","isWorkingQuantity","jobType","lastName","leaveDocumentAttachment","leaveForm","leaveFormHour","leaveType","listMemberID","middleName","nameTitle","nickName","overtimeHour","overtimeType","personalID","personalIDImageList","personalRelation","placeType","positionID","positionLevel","positionName","probEndAt","probSalary","probStartedAt","profileImage","regulationCalendar","regulationDetail","regulationLeave","regulationLeaveHoliday","regulationLeaveSick","regulationOverTime","regulationWork","regulationWorkAttendance","remark","salary","sex","startedAt","status","teamID","teamLeaderID","teamName","tel","Type","__typename","updatedAt"
"DEPARTMENT|6565e2b0-9460-11ec-9a1b-c7cef3b498ad","DEPARTMENT|6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","","","","","","","","2022-02-23T04:23:48.059Z","","","test product","","Developer","","","","","","","","DEPARTMENT|6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","[{""S"":""SHIFT_B""}]","","[{""S"":""REASON_SICK""}]","","","[{""S"":""OT_B""}]","","[{""S"":""SHIFT_A""},{""S"":""SHIFT_C""}]","","","","","","","","","","Department","Department","2022-03-01T03:45:23.927Z"
"EMPLOYEE|2bfc24a0-909e-11ec-91ab-ef45fb857e87","DEPARTMENT|6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","","","","","","","","","","","","","","","","","","","","มัมมี่เหลา","EMPLOYEE|2bfc24a0-909e-11ec-91ab-ef45fb857e87","","2bfc24a0-909e-11ec-91ab-ef45fb857e87","","","","","","","","","จ๊กม๊ก","","","","","","","","หม่ำ","","","","","","","","","","","","","","","","","","","","","","","","","","INACTIVE","","","","","Employee_Department","Employee_Department",""
"EMPLOYEE|2bfc24a0-909e-11ec-91ab-ef45fb857e87","EMPLOYEE|2bfc24a0-909e-11ec-91ab-ef45fb857e87","74/2 Country Road .Take me home","Point","CHIANG_MAI","false","true","false","true","2021-09-09","2022-02-18T09:35:55.882Z","","","","6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","birDSakkar1n0@live.com","[]","[{""M"":{""bankAccountName"":{""S"":""ItME""},""bankProviderName"":{""S"":""Kasikorn""},""bankImageList"":{""L"":[{""S"":""www.img-me.com""}]},""bankAccountId"":{""S"":""123""}}}]","[]","OUTSOURCE_HOUR","","มัมมี่เหลา","EMPLOYEE|2bfc24a0-909e-11ec-91ab-ef45fb857e87","[{""S"":""www.img-me.com""}]","2bfc24a0-909e-11ec-91ab-ef45fb857e87","false","null","null","false","null","false","null","3","จ๊กม๊ก","","","","","","นาย","MR","หม่ำ","","","12345678910","[{""S"":""www.img-me.com""}]","SINGLE","","f6e75990-9090-11ec-a6cc-450b39d315d4","","","2021-05-01","20000","2021-10-25","[{""S"":""www.img-me.com""}]","","Browseblab","false","false","false","","2","","","18000","MALE","","INACTIVE","null","","","582-181-7540","Employee","Employee","2022-02-23T06:15:22.940Z"
"EMPLOYEE|2bfc24a0-909e-11ec-91ab-ef45fb857e87","POSITION|f6e75990-9090-11ec-a6cc-450b39d315d4","","","","","","","","","","","","","","","","","","","","","มัมมี่เหลา","EMPLOYEE|2bfc24a0-909e-11ec-91ab-ef45fb857e87","","2bfc24a0-909e-11ec-91ab-ef45fb857e87","","","","","","","","","จ๊กม๊ก","","","","","","","","หม่ำ","","","","","","","","","","","","","","","","","","","","","","","","","","INACTIVE","","","","","Employee_Position","Employee_Position",""
"POSITION|4e110610-9098-11ec-a219-aba22038fec1","POSITION|4e110610-9098-11ec-a219-aba22038fec1","","","","","","","","","2022-02-18T08:53:56.081Z","","","","","","","","","","","","","POSITION|4e110610-9098-11ec-a219-aba22038fec1","","4e110610-9098-11ec-a219-aba22038fec1","","","","","","","","","","","","","","","","","","","","","","","","","Intern","Ui-Ux Designer Test1","","","","","","","","","","","","","I want this remark edit","","","","","","","","","Position","Position","2022-02-25T08:27:21.879Z"
"EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","DEPARTMENT|6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","","","","","","","","","","","","","","","","","","","","เท่ง","EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","","3b51d020-909f-11ec-b155-7328d08b6544","","","","","","","","","เถิดเทิง","","","","","","","","Mam","","","","","","","","","","","","","","","","","","","","","","","","","","INACTIVE","","","","","Employee_Department","Employee_Department",""
"EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","74/2 Country Road .Take me home","Point","SATUN","false","true","false","true","2021-09-09","2022-02-18T09:43:31.106Z","","","","6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","birDSakkar1n0@live.com","[]","[{""M"":{""bankAccountName"":{""S"":""ItME""},""bankProviderName"":{""S"":""Kasikorn""},""bankImageList"":{""L"":[{""S"":""www.img-me.com""}]},""bankAccountId"":{""S"":""123""}}}]","[]","OUTSOURCE_HOUR","","เท่ง","EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","[{""S"":""www.img-me.com""}]","3b51d020-909f-11ec-b155-7328d08b6544","false","null","null","false","null","false","null","3","เถิดเทิง","","","","","","MR","MR","Mam","","","12345678910","[{""S"":""www.img-me.com""}]","SINGLE","","4e110610-9098-11ec-a219-aba22038fec1","","","2021-05-01","20000","2021-10-25","[{""S"":""www.img-me.com""}]","","Browseblab","false","false","false","","2","","","18000","MALE","","INACTIVE","null","","","582-181-7540","Employee","Employee","2022-02-23T06:16:07.204Z"
"EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","POSITION|4e110610-9098-11ec-a219-aba22038fec1","","","","","","","","","","","","","","","","","","","","","เท่ง","EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","","3b51d020-909f-11ec-b155-7328d08b6544","","","","","","","","","เถิดเทิง","","","","","","","","Mam","","","","","","","","","","","","","","","","","","","","","","","","","","INACTIVE","","","","","Employee_Position","Employee_Position",""
"POSITION|f6e75990-9090-11ec-a6cc-450b39d315d4","POSITION|f6e75990-9090-11ec-a6cc-450b39d315d4","","","","","","","","","2022-02-18T08:01:23.369Z","","","","","","","","","","","","","POSITION|f6e75990-9090-11ec-a6cc-450b39d315d4","","f6e75990-9090-11ec-a6cc-450b39d315d4","","","","","","","","","","","","","","","","","","","","","","","","","Intern","Backend-end Dev","","","","","","","","","","","","","Hello Remark","","","","","","","","","Position","Position","2022-02-18T09:25:02.536Z"
"POSITION|9b4809c0-93c6-11ec-8fd3-47d1536806e3","POSITION|9b4809c0-93c6-11ec-8fd3-47d1536806e3","","","","","","","","","2022-02-22T10:02:55.964Z","","","","","","","","","","","","","POSITION|9b4809c0-93c6-11ec-8fd3-47d1536806e3","","9b4809c0-93c6-11ec-8fd3-47d1536806e3","","","","","","","","","","","","","","","","","","","","","","","","","Intern","Manage Resource","","","","","","","","","","","","","manage resource is coming","","","","","","","","","Position","Position","2022-02-22T10:02:55.964Z"
"POSITION|8ef73cd0-9615-11ec-a545-1d475a823b47","POSITION|8ef73cd0-9615-11ec-a545-1d475a823b47","","","","","","","","","2022-02-25T08:33:07.869Z","","","","","","","","","","","","","POSITION|8ef73cd0-9615-11ec-a545-1d475a823b47","","8ef73cd0-9615-11ec-a545-1d475a823b47","","","","","","","","","","","","","","","","","","","","","","","","","","Top_testEiEi","","","","","","","","","","","","","","","","","","","","","","Position","Position","2022-02-25T08:33:07.869Z"
"TEAM|cc2aee30-90a2-11ec-8270-bf4293a39911","EMPLOYEE|3b51d020-909f-11ec-b155-7328d08b6544","","","","","","","","","","","","","","","","","","","","","","TEAM|cc2aee30-90a2-11ec-8270-bf4293a39911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEAM|cc2aee30-90a2-11ec-8270-bf4293a39911","EMPLOYEE|LEADER|a08d4200-909d-11ec-91ab-ef45fb857e87","","","","","","","","","","","","","","","","","","","","","","TEAM|cc2aee30-90a2-11ec-8270-bf4293a39911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEAM|cc2aee30-90a2-11ec-8270-bf4293a39911","TEAM|cc2aee30-90a2-11ec-8270-bf4293a39911","","","","","","","","","2022-02-18T10:09:02.611Z","","","","","","","","","","","","","TEAM|cc2aee30-90a2-11ec-8270-bf4293a39911","","cc2aee30-90a2-11ec-8270-bf4293a39911","","","","","","","","","","","","","","[{""S"":""3b51d020-909f-11ec-b155-7328d08b6544""}]","","","","","","","","","","","","","","","","","","","","","","","","","Team need help","","","","","","a08d4200-909d-11ec-91ab-ef45fb857e87","ช่วยด้วยติดอยู่ในลิฟต์","","Team","Team","2022-02-18T10:09:02.611Z"
"OVERTIME|68d85870-99d7-11ec-a64f-d1c4a8ba3a6e","EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","","","","","","","","","2022-03-02T03:18:19.767Z","a08d4200-909d-11ec-91ab-ef45fb857e87","WORKDAY","","","","","","","","","2022-02-25T19:00:00.691Z","","OVERTIME|68d85870-99d7-11ec-a64f-d1c4a8ba3a6e","","68d85870-99d7-11ec-a64f-d1c4a8ba3a6e","","","","","","","","","","","","","","","","","","1","OVERTIME","","","","OFFSITE","","","","","","","","","","","","","","","","overtime test Trigger 01","","","2022-02-25T17:00:00.691Z","APPROVE","","","","","Employee_Overtime","Employee_Overtime",""
"OVERTIME|68d85870-99d7-11ec-a64f-d1c4a8ba3a6e","OVERTIME|68d85870-99d7-11ec-a64f-d1c4a8ba3a6e","","","","","","","","","2022-03-02T03:18:19.767Z","a08d4200-909d-11ec-91ab-ef45fb857e87","WORKDAY","","","","","","","","","2022-02-25T19:00:00.691Z","","OVERTIME|68d85870-99d7-11ec-a64f-d1c4a8ba3a6e","","68d85870-99d7-11ec-a64f-d1c4a8ba3a6e","","","","","","","","","","","","","","","","","","1","OVERTIME","","","","OFFSITE","","","","","","","","","","","","","","","","overtime test Trigger 01","","","2022-02-25T17:00:00.691Z","APPROVE","","","","","Overtime","Overtime","2022-03-02T03:19:23.220Z"
"DEPARTMENT|90a212f0-9910-11ec-89a0-95565adb34e4","DEPARTMENT|90a212f0-9910-11ec-89a0-95565adb34e4","","","","","","","","","2022-03-01T03:34:56.670Z","","","Department Test Array","","Array Department","","","","","","","","DEPARTMENT|90a212f0-9910-11ec-89a0-95565adb34e4","","90a212f0-9910-11ec-89a0-95565adb34e4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","[{""S"":""SHIFT_C""},{""S"":""SHIFT_A""}]","","[{""S"":""REASON_SICK""},{""S"":""REASON_ANNUAL_LEAVE""}]","","","[{""S"":""OT_A""},{""S"":""OT_C""}]","","[{""S"":""SHIFT_A""},{""S"":""SHIFT_B""}]","","","","","","","","","","Department","Department","2022-03-01T03:34:56.670Z"
"EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","DEPARTMENT|6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","","","","","","","","","","","","","","","","","","","","ฮะโหน่งง","EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","","a08d4200-909d-11ec-91ab-ef45fb857e87","","","","","","","","","มาแว้ว","","","","","","","","โหน่ง","","","","","","","","","","","","","","","","","","","","","","","","","","ACTIVE","","","","","Employee_Department","Employee_Department",""
"EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","74/2 Country Road .Take me home","Point","BUOGKAN","false","true","false","true","2021-09-09","2022-02-18T09:32:01.952Z","","","","6565e2b0-9460-11ec-9a1b-c7cef3b498ad","","birDSakkar1n0@live.com","[]","[{""M"":{""bankAccountName"":{""S"":""ItME""},""bankProviderName"":{""S"":""Kasikorn""},""bankImageList"":{""L"":[{""S"":""www.img-me.com""}]},""bankAccountId"":{""S"":""123""}}}]","[]","FULLTIME_MONTH","","ฮะโหน่งง","EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","[{""S"":""www.img-me.com""}]","a08d4200-909d-11ec-91ab-ef45fb857e87","false","null","null","false","null","false","null","3","มาแว้ว","","","","","","นาย","MR","โหน่ง","","","12345678910","[{""S"":""www.img-me.com""}]","SINGLE","","f6e75990-9090-11ec-a6cc-450b39d315d4","","","2021-05-01","10000","2021-10-25","[{""S"":""www.img-me.com""}]","","Browseblab","false","false","false","","1","","","15000","MALE","","ACTIVE","null","","","582-181-7540","Employee","Employee","2022-02-23T06:16:21.918Z"
"EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","LEAVE|Ua08d4200-909d-11ec-91ab-ef45fb857e87E456289","","","","","","","","","2022-03-02T02:20:01.811Z","a08d4200-909d-11ec-91ab-ef45fb857e87","","","","","","","","","","2022-01-20T01:00:00.000Z","","EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","","Ua08d4200-909d-11ec-91ab-ef45fb857e87E456289","","","","","","","","","","null","HALFDAY_AFTERNOON_LEAVE","null","REASON_SICK","","","","","","","","","","","","","","","","","","","","","","","","","","leave trigger test01","","","2022-01-20T00:00:00.000Z","APPROVE","","","","","Leave","Leave","2022-03-02T02:21:37.600Z"
"EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","POSITION|f6e75990-9090-11ec-a6cc-450b39d315d4","","","","","","","","","","","","","","","","","","","","","ฮะโหน่งง","EMPLOYEE|a08d4200-909d-11ec-91ab-ef45fb857e87","","a08d4200-909d-11ec-91ab-ef45fb857e87","","","","","","","","","มาแว้ว","","","","","","","","โหน่ง","","","","","","","","","","","","","","","","","","","","","","","","","","ACTIVE","","","","","Employee_Position","Employee_Position",""
"POSITION|bbd28870-9090-11ec-a6cc-450b39d315d4","POSITION|bbd28870-9090-11ec-a6cc-450b39d315d4","","","","","","","","","2022-02-18T07:59:44.247Z","","","","","","","","","","","","","POSITION|bbd28870-9090-11ec-a6cc-450b39d315d4","","bbd28870-9090-11ec-a6cc-450b39d315d4","","","","","","","","","","","","","","","","","","","","","","","","","Senior","Dev","","","","","","","","","","","","","test test","","","","","","","","","Position","Position","2022-02-24T08:56:22.229Z"
